,quarter,roundType,amount
160,2023Q4,Series ?,33529411.76470588
161,2023Q4,Series A,22320972.5
162,2023Q4,Series B,29000000.0
163,2023Q4,Series C,68000000.0
164,2023Q4,Series D,82245900.0
165,2023Q4,Series E,20000000.0
166,2024Q1,Pre-Seed,2001625.0
167,2024Q1,Seed,6139043.842105263
168,2024Q1,Series ?,28698517.916666668
169,2024Q1,Series A,23120825.0
170,2024Q1,Series B,33333333.333333332
171,2024Q1,Series C,27219800.0
172,2024Q2,Pre-Seed,2075000.0
173,2024Q2,Seed,3423255.238095238
174,2024Q2,Series ?,45100517.17391305
175,2024Q2,Series A,15372872.083333334
176,2024Q2,Series B,71252406.33333333
177,2024Q2,Series C,77500000.0
178,2024Q2,Series D,0.0
179,2024Q2,Series E,136000000.0
180,2024Q3,Equity Crowdfunding,5000000.0
181,2024Q3,Grant,12000000.0
182,2024Q3,Pre-Seed,1743857.142857143
183,2024Q3,Seed,5058823.529411765
184,2024Q3,Series ?,25416666.666666668
185,2024Q3,Series A,14357692.307692308
186,2024Q3,Series B,39333333.333333336
187,2024Q3,Series C,31350000.0
188,2024Q3,Series D,687000000.0
189,2024Q3,Series F,1240000000.0
190,2024Q4,Grant,57300000.0
191,2024Q4,Pre-Seed,1611111.111111111
192,2024Q4,Seed,5534830.722222222
193,2024Q4,Series ?,80728157.89473684
194,2024Q4,Series A,22327276.272727273
195,2024Q4,Series B,26350004.666666668
196,2024Q4,Series C,72400000.0
197,2024Q4,Series D,527500000.0
198,2025Q1,Pre-Seed,887500.0
199,2025Q1,Seed,3897144.1428571427
200,2025Q1,Series ?,135000000.0
201,2025Q1,Series A,15500000.0
202,2025Q1,Series B,66500000.0
203,2025Q1,Series C,28633333.333333332
